customer_id,gender,is_senior,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movie,subscription_plan,paperless_billing,payment_method,monthly_revenue,lifetime_value,is_churned,customer_segment,tenure_bucket,is_active_customer
7799-LGRDP,Female,0,No,No,43,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),19.35,1188.2,0,Low Value,Loyal,1
7850-VWJUU,Female,0,No,No,23,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),19.35,1778.5,0,Low Value,Established,1
3774-VBNXY,Female,0,Yes,Yes,64,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,19.35,1277.75,0,Low Value,Loyal,1
6217-KDYWC,Male,0,No,Yes,57,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,19.35,1170.55,0,Low Value,Loyal,1
0390-DCFDQ,Female,1,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,19.35,70.45,1,Low Value,New,0
3146-MSEGF,Female,1,Yes,Yes,72,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),19.35,6425.65,0,Low Value,Loyal,1
4080-OGPJL,Female,0,No,No,8,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,19.35,563.65,1,Low Value,Early,0
1095-WGNGG,Female,0,Yes,No,61,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),19.35,5971.25,0,Low Value,Loyal,1
2636-SJDOU,Male,0,No,No,64,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),19.35,5289.05,0,Low Value,Loyal,1
1131-QQZEB,Male,1,Yes,No,71,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),19.35,1756.2,0,Low Value,Loyal,1
5716-EZXZN,Female,0,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),19.35,6416.7,0,Low Value,Loyal,1
6837-BJYDQ,Male,0,No,No,3,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,19.35,61.35,0,Low Value,New,1
2135-RXIHG,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,19.35,45.65,1,Low Value,New,0
6440-DKQGE,Male,0,No,Yes,30,Yes,No,DSL,No,No,No,No,No,No,One year,No,Credit card (automatic),19.35,1929.95,0,Low Value,Loyal,1
3466-BYAVD,Male,0,Yes,Yes,15,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,19.4,1071.4,0,Low Value,Established,1
3780-YVMFA,Female,0,Yes,Yes,8,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,19.4,564.35,0,Low Value,Early,1
3874-EQOEP,Male,0,No,No,7,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,19.4,655.5,1,Low Value,Early,0
1679-JRFBR,Female,0,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),19.4,7930.55,0,Low Value,Loyal,1
9073-ZZIAY,Male,0,Yes,Yes,62,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Electronic check,19.4,5215.25,0,Low Value,Loyal,1
3077-RSNTJ,Female,0,Yes,Yes,6,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.4,113.5,0,Low Value,New,1
6551-GNYDG,Female,0,Yes,Yes,14,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),19.4,1152.8,0,Low Value,Established,1
9167-APMXZ,Female,0,No,No,22,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),19.4,1821.95,0,Low Value,Established,1
2749-CTKAJ,Male,0,Yes,Yes,22,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,19.4,419.9,0,Low Value,Established,1
6371-NZYEG,Male,0,Yes,Yes,16,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Mailed check,19.4,1024,0,Low Value,Established,1
